,Entity,Code,Year,TonsPerPerson,KiloPerWeek
1555,Panama,PAN,2010,-11.740000000000002,-225.1506849315069
989,Jordan,JOR,2010,-11.55,-221.50684931506854
461,Colombia,COL,2010,-11.5,-220.54794520547946
1654,Russia,RUS,2010,-11.370000000000001,-218.05479452054797
1478,Northern Africa and Western Asia,,2010,-11.350000000000001,-217.67123287671237
21,Albania,ALB,2010,-11.120000000000001,-213.26027397260276
1286,Mexico,MEX,2010,-10.98,-210.57534246575344
1813,South Africa,ZAF,2010,-10.620000000000001,-203.67123287671234
1857,Southern Africa,,2010,-10.510000000000002,-201.56164383561648
637,Ecuador,ECU,2010,-10.46,-200.6027397260274
208,Belize,BLZ,2010,-10.270000000000001,-196.95890410958904
2143,Vanuatu,VUT,2010,-10.250000000000002,-196.57534246575347
1676,Samoa,WSM,2010,-10.24,-196.38356164383563
406,Central Asia,,2010,-9.850000000000001,-188.9041095890411
230,Bhutan,BTN,2010,-9.680000000000001,-185.64383561643837
2000,Thailand,THA,2010,-9.600000000000001,-184.10958904109592
2209,World,OWID_WRL,2010,-9.270000000000001,-177.78082191780825
615,Eastern Europe,,2010,-9.180000000000001,-176.05479452054797
1330,Mongolia,MNG,2010,-9.16,-175.67123287671234
2187,Western Asia,,2010,-9.14,-175.28767123287673
1066,Latin America and the Caribbean,,2010,-9.05,-173.56164383561645
1176,Macedonia,MKD,2010,-9.000000000000002,-172.60273972602744
296,Bulgaria,BGR,2010,-9.000000000000002,-172.60273972602744
1934,Swaziland,SWZ,2010,-8.64,-165.69863013698634
1824,South America,,2010,-7.370000000000001,-141.34246575342468
76,Argentina,ARG,2010,-7.3100000000000005,-140.19178082191783
1588,Peru,PER,2010,-7.200000000000001,-138.08219178082192
153,Bahrain,BHR,2010,-7.0600000000000005,-135.39726027397262
1709,Saudi Arabia,SAU,2010,-6.720000000000001,-128.87671232876713
2044,Turkey,TUR,2010,-6.630000000000001,-127.15068493150686
868,Hungary,HUN,2010,-6.440000000000001,-123.50684931506852
505,Croatia,HRV,2010,-6.4,-122.73972602739727
274,Brazil,BRA,2010,-6.390000000000001,-122.54794520547946
175,Barbados,BRB,2010,-6.370000000000001,-122.16438356164386
1791,Small island developing States,,2010,-6.360000000000001,-121.97260273972604
626,Eastern and South-Eastern Asia,,2010,-6.23,-119.47945205479455
2055,Turkmenistan,TKM,2010,-6.15,-117.94520547945206
1643,Romania,ROU,2010,-6.110000000000001,-117.17808219178086
1923,Suriname,SUR,2010,-5.760000000000002,-110.46575342465756
1577,Paraguay,PRY,2010,-5.620000000000001,-107.78082191780824
