,Entity,Code,Year,CubicPerPerson,CubicPerWeek
15,Western Europe,,2015,0,0.0
16,World,OWID_WRL,2015,1823,34.961643835616435
3,Central America and Caribbean,,2015,4391,84.21095890410959
7,Europe,,2015,4889,93.76164383561644
9,North America,,2015,8531,163.60821917808218
1,Americas,,2015,15719,301.46027397260275
6,Eastern Europe,,2015,17377,333.25753424657535
11,Oceania,,2015,25219,483.6520547945205
12,South America,,2015,26422,506.7232876712328
