,Entity,Code,Year,TonsPerPerson,KiloPerWeek
230,Bhutan,BTN,2010,-9.68,-185.6438356
2000,Thailand,THA,2010,-9.6,-184.109589
2209,World,OWID_WRL,2010,-9.27,-177.7808219
615,Eastern Europe,,2010,-9.18,-176.0547945
1330,Mongolia,MNG,2010,-9.16,-175.6712329
2187,Western Asia,,2010,-9.14,-175.2876712
1066,Latin America and the Caribbean,,2010,-9.05,-173.5616438
1176,Macedonia,MKD,2010,-9,-172.6027397
296,Bulgaria,BGR,2010,-9,-172.6027397
1934,Swaziland,SWZ,2010,-8.64,-165.6986301
1824,South America,,2010,-7.37,-141.3424658
76,Argentina,ARG,2010,-7.31,-140.1917808
1588,Peru,PER,2010,-7.2,-138.0821918
153,Bahrain,BHR,2010,-7.06,-135.3972603
1709,Saudi Arabia,SAU,2010,-6.72,-128.8767123
2044,Turkey,TUR,2010,-6.63,-127.1506849
868,Hungary,HUN,2010,-6.44,-123.5068493
505,Croatia,HRV,2010,-6.4,-122.739726
274,Brazil,BRA,2010,-6.39,-122.5479452
175,Barbados,BRB,2010,-6.37,-122.1643836
1791,Small island developing States,,2010,-6.36,-121.9726027
626,Eastern and South-Eastern Asia,,2010,-6.23,-119.4794521
2055,Turkmenistan,TKM,2010,-6.15,-117.9452055
1643,Romania,ROU,2010,-6.11,-117.1780822
1923,Suriname,SUR,2010,-5.76,-110.4657534
1577,Paraguay,PRY,2010,-5.62,-107.7808219
912,Iran,IRN,2010,-5.55,-106.4383562
1725,Serbia,SRB,2010,-5.01,-96.08219178
1220,Maldives,MDV,2010,-5,-95.89041096
450,China,CHN,2010,-4.61,-88.4109589
1099,Lebanon,LBN,2010,-3.9,-74.79452055
604,Eastern Asia,,2010,-3.66,-70.19178082
1533,Oman,OMN,2010,-3.1,-59.45205479
1610,Poland,POL,2010,-2.93,-56.19178082
285,Brunei,BRN,2010,-2.88,-55.23287671
1264,Mauritius,MUS,2010,-2.69,-51.5890411
1209,Malaysia,MYS,2010,-2.02,-38.73972603
439,Chile,CHL,2010,-1.97,-37.78082192
263,Botswana,BWA,2010,-1.94,-37.20547945
1000,Kazakhstan,KAZ,2010,-0.98,-18.79452055
945,Israel,ISR,2010,-0.81,-15.53424658
681,Estonia,EST,2010,-0.76,-14.57534247
956,Italy,ITA,2010,-0.19,-3.643835616
197,Belgium,BEL,2010,-0.1,-1.917808219
